Text,Religious#Icon,Religious#Practice,Religious#Place,God,Religious#Group
ইসলাম ধর্ম যেমন একটা ভন্ডামী তেমনি বঙ্গ ভবনে আরবী সুরা লিখে রাখাটাও একটা ভন্ডামী- মুনতাছের মামুন,2,3,2,2,3
আরে মালাউনের বাচ্চারা সরাসরি বললেই পারিস জাকির নায়েক তোদের পাছায় লাদেন পটকা মেরেছে।।,3,2,2,2,3
বাইবেলে শয়তানকে সাপের সঙ্গে তুলনা করা হয়েছে,2,3,2,2,2
জাকির নায়েক ধর্ম ব্যবসা বন্ধ করে দেওয়াতে এদের ঘুম হারাম হয়ে গেছে।,3,2,2,2,3
মালাউন কা বাচচা ঐটা হাসনার বাংলা নয় পাকস্তান।,2,2,3,2,3
দুদিন আগে অন্য ধর্ম থেকে চুরি করা জিনিস নিয়ে যাদের জন্ম তারা নাকি আমাদের ধর্ম সম্পর্কে জ্ঞান দেয়!!!,2,2,2,2,3
"আমি তর মারে,বিবি হাওয়া,তদের মা ফাতেমারে চুদে লোকাল প্লেয়বয় হইসি ।",3,2,2,2,2
ভাই আপনি তাকে কেন বলছেন না যে তুমি উর্দুতে কথা বল আমি যেভাবে ধর্ম গ্রন্থ থেকে রেফারেন্স দিয়ে কথা বলতেছি তুমি রেফারেন্সে কথা বল এটা বলুন,2,2,2,2,2
"ইহুদীরা সব সময় মিথ্যে বলে আসছে,আর ভবিষ্যতে ও বলবে।",2,2,2,2,3
আর রেন্ডিয়াতে কোনো নারী নির্যাতন হয় না আবাল মালাউন।।।,2,2,2,2,3
বাচ্চা মেয়েটার জীবন ধ্বংস করেছে মুহম্মদ যার প্রতিশোধ হিসেবে আয়েশা মুহম্মদকে বিষ খাইয়ে হত্যা করেছে,3,2,2,2,2
প্রথমে তুই ধ্বংস হবে তুই দাঁড়িওয়ালা পাঁঠাদের উস্তাদ তর নিজেরও দাড়ি আছে সালা মালাউন ফেরাউন।,3,2,2,2,3
কাফেরের এটাই নিয়ম চুক্তি করে চুক্তি ভঙ্গন।,2,2,2,2,2
এই দিবকর দেবনাথ এর মতন মুর্খ দেখি নাই ধর্মগ্রন্থ মানবেনা নিজের লজিক ই সব,2,2,2,2,2
"তেহারিতে গোমাংস, চারুকলার ক্যান্টিন মালিককে মারধর",2,3,2,2,2
আপনি ইসলাম সমন্ধে বলুন আর পোদে দম থাকলে আসিফ মহিনউদ্দিনের নাস্তিক্য.,2,2,2,2,3
"ওর কথা হচ্ছে, “আমি গাছ-বলদ মালায়ন” আমার সাথে কেন দলিল দিয়ে কথা বলে! দামড়া-বলদের সামনে দলিল-প্রমান-যুক্তি সবই অকেজো ।",2,2,2,2,2
সাব্বাস পাকিস্তান মালাউনদের দংস করে দিতে হবে,2,2,3,2,3
দেশের মানুষ কি এতই মূর্খ। যেখানে মালাউনের বাচ্চারা আমরা সারাক্ষন নিজেদের নিরাপত্তা নিয়ে সংশয় সেখানে কিভাবে শিমুল গাছে গা চুলকাতে যাই যেখানে গা থেকে রক্ত বের হওয়ার সম্ভাবনা থাকে।না এটা ভন্ডবাদী ঐ ধর্মভিরুদের চক্রান্ত ছাড়া আর কিছুই নয়।,2,2,2,2,3
একজন আলেমের বিরূদ্ধে এমন মন্তব্য গ্রহন যোগ্য নয়।।,3,2,2,2,2
"আসলে তোমরা নাস্তিকরা হলা সর্ব হারা, মরার সময়ই বুঝবি শালারা।",2,2,2,2,3
মালাউনের বাচ্চারা আর কোনোদিন ভালো হবেনা,2,2,2,2,3
"কাটমোল্লাদের তাদের ধর্ম ব্যবসায় বন্ধ হয়ে গেছে,তাই তার উপর খুব রাগ, আরে ভাই সত্য চিরন্তর, মিথ্যা সাময়িক",2,2,2,2,2
তোর মারে চুদে আকাশে তুলবো তোর বোনকে চুদে তোর বোনের ভোদার হাডডি ভাংমো তোর পিসিকে চুধে পানিতে নামাবো তোর মাসিকে চুদে গাছে তোলবো তোর গোষটিকে চুদে ভাজ লাগামো আমারে চিনিস আমি মালাউনদের চোদার মাষটার।,2,2,2,2,3
বাড্ডার এই মন্দিরে কোরআন পোড়ানো হয তীব্র প্রতিবাদে জেগে উঠুন মুসলমান,2,2,3,2,3
নুনুর আগা কাটলেই কেও মুসলিম হয় না!,2,3,2,2,3
আর আপনি ও পীরের ব্যাবসা বন্দ করেন। মুক্তি আর পীরের ব্যাবসা দুইটা অবৈধ,2,2,2,2,3
যে শালা মালাউন বলেছে ও বোনেরে চুদি তোমাদের মুখে দারি মাথায় ঠুপি রেখে ভন্ডামী কর তোমরা জংগী?,3,3,2,2,3
গুমহারাম এই মালাউন গরুর বাচ্চা বাংলাদেশে,2,2,2,2,2
"ইসলামবিরোধী প্রোপাগান্ডায় লিপ্ত ভারতীয় কুখ্যাত দালাল শ্রেণী, যাদের ইচ্ছা ভারত হবে মুসলিমবিহীন রাষ্ট্র",3,2,2,2,3
"মুর্তিপুজারী,মাজারপুজারী,ভন্ড পীরদের পোদ ফেটে গেছে।",2,2,3,2,3
"মুস্লিম জাতি ই হইছে মূর্খের বাল, নাস্তিকের উত্তর আর কি দিবো!",3,3,2,2,3
"ভাই যে নাকি ইসলামকে বিশ্বাস করে না। আল্লাহকে বিশ্বাস করে নাহ। সে চুলের মর্ম কি বুঝবে আর, হিজাবের মর্ম কি বুঝবে",2,2,2,2,2
ভারত যখন বাংলাদেশের কাছে খেলায় পরাজিত হয় বাংলাদেশের কোটি মানুষের মুখে হাঁসি ফুটে আনোন্দ পায় খুশি হয়।আর পাকিস্তান যদি ভারতকে ধ্বংস করে দেয় ঠিক তেমন খুশি হবে পুরা বাংলাদেশের জনগন পাকিস্তান এগিয় যাও ভরত মালাউনদের ধ্বংস করে দাও ।,2,2,2,2,3
নাস্তিক লতিফ সিদ্দিকীকে বরণ করে নিতে প্রস্তুতি মিছিল,2,2,2,2,3
দেশের জন্য আপনার কতটুকু ত্যাগ আছে? আপনার ভাষায় গোটা পাঁচেক মালাউনের নাম প্রকাশ করলাম। তাঁরা হলেন চিত্ত রঞ্জন দত্ত সিআর দত্ত বীর উত্তম নিল মনি সরকার বীর বিক্রম জগত জ্যোতি দাস বীর বিক্রম অলীক কুমার গুপ্ত বীর প্রতীক দেবদাস বিশ্বাস খোকন বীর বিক্রম। পারলে খেতাব ছাড়া স্বসস্ত্র হিন্দু যোদ্ধা এবং শহীদ হিন্দুদের হিসাব জেনে নিয়েন,3,2,2,2,3
নাস্তিকেরা এইসব গরু - ছাগল কই থেকে যে আনে,3,3,2,2,2
শালা নাম্তিকদের হত্যা করা আমাদের দায়িত্ব ও কর্তব্য.,3,2,2,2,3
"দিবাকর দেবনাথ দাদা পড়াশোনা করুন ,জয় শিরাম স্লোগান দিয়ে কিছু লাভ হবেনা",3,3,2,3,3
জনগনের সামনে তোর হিন্দু বাবাদের সামনে ওপেন চ্যালেঞ্জ হবে মাদারচুদ,2,3,2,2,3
অসভ্য হলেও আমাদের মুসলিম ভাইকে স্যালুট,2,2,2,2,3
আমি সত্যিই বলছি এই কাজটি ভরররতীয় গোয়েন্দা সংস্থা র ও সন্ত্রাস মালাউনদের কাজ মুসলমান ও হিন্দু আমরা সবাই বাংলাদেশী আমাদের মধ্য ঝামেলা নাই ভরররত সেটা পছন্দ করেনা বলেই আমার দেশের ঝামেলা করতে চায়,2,2,2,2,2
যে মালাউনের কারণে এই ঘটনা তার খবর কি ? তার তাদের শাস্তি হবে তো ??,2,2,2,2,3
"নাস্তিক ওরা হলো দুনিয়ার ময়লা, আবর্জনা আর নর্দমার কীট ভন্ড এক নাম্বার মিথ্যাবাদী",2,3,2,2,3
মুসলিম নামদারি মুনাফেকদের দলেরা আর মালাউন কুলাংগারের বাচ্চারা দেশনেতরি খালেদা জিয়ার বিপখখে কথা বলতেচে,3,2,2,2,3
রাহুল ভাই আপনি এই সব পাগলের সাথে কেন কথা বলেন। এরা নিজেরা ঠাকুর বানাই আবার তার সামনে মদ খেয়ে নাচা নাচি করে।,3,3,2,2,3
মালাউন মরলে ফেলানীর আত্মা শান্তি পাবে,2,2,2,2,3
"দিবাকর পাগল যুক্তি নেই স্লোগানেই মন্ত্র নেই অতএব সে কিছুই জানেনা,",2,2,2,2,2
"মায়ানমারের এই চিত্র, মসজিদ ভেঙ্গে দিতেছে মায়ানমারের বৌদ্ধরা",3,2,3,2,3
তোর বাড়িতে অপরিচিত মুসলিম ঢুকে পড়লে তুই কি করবি মোদী শেটাই করচ্ছে!,2,2,2,2,3
যে লোক নিজের ধর্ম সম্পর্কেই জ্ঞান রাখে না সে আবার আসছে ডিবেট করতে,2,2,2,2,2
ধর্ম অবমাননার বিষয়ে বিবিসি লুকোচুরি করেছে।,2,2,2,2,2
এ মালাউনের মুখে জুতা মারেন সবাই।,2,2,2,2,3
মাগীচুদা নাস্তিক তরমারে চুইদা প্রমান কর তুই সত্তিকারের নাস্তিক,2,3,2,2,3
ওয়াজ মাহফিল বন্ধ করা উচিৎ মসজিদ থেকে আজান দিয়ে শব্দ দূষণ করা হচ্ছে,3,3,3,2,3
মুত্রের সাথে একমাস তিনবেলা করে গো মাংস খা তোর মানুষিক সমস্যা ঠিক হয়ে যাবে।,3,2,2,2,3
আল্লাহ তুমি তাদের বিচার এই পৃথিবীতে করে দেখান,2,2,2,2,2
একেই বলে মালাউন মারকা কথা বার্তা।,2,2,2,2,3
"ধর্ম ধর্ম করে তোরাই এই দুনিটাকে নরক বানিয়ে রেখেছিস, অন‍্য ধর্মের মানুষদের সঙ্গে তোরা মিলেমিশে চলতে পারিসনে ।",2,2,2,2,2
"আসিফ নাস্তিকের সাথে,যে দাঁতভাঙ্গা উত্তর দিতেছেন,তাকে অনেক ধন্যবাদ।",2,2,2,2,2
তুই তু মালাউন তাকি কম না ডেঞ্জারেস কমেন্ট করুস,2,2,2,2,3
মালাউন হুসিয়ার তোর কােনে তোর জাত বাইরা মরিবে মোসলমানদের বুকে নিচে থাকি মোসল মানদের গালি দেস বাইনচোদ এর পরিনাম কি হয় দখসনা তুই ঠিক হয়েযায় বাচিতে পারিবি,2,2,2,2,3
মালাউন পেচবুকেই কথা বলিতে পারে আমাদের সামনে হিজরার মত থাকে এই রকম দুই একটা মালাউনের কারনে অন্য মালাউনে মারখায় বাড়ি ঘর হারায়,2,2,2,2,3
"এখন যেমন বেশিরভাগ মানুষ বাংলা সিনেমা দেখা ছেড়ে দিয়েছে,তেমনি ওয়াজের প্রতিও ঘৃনা জন্মাইতেছে।",2,2,2,2,2
পাকিস্তানদের মতো আমাদের দেশ থাকত তাইলে হিন্দুদের সাথে ধরষন করতাম,2,2,2,2,3
টেন্ডু গাঙ্গু ধনি কলি রহিত। পুরো ভারোত এসে পর তোদের সাথে খেলা হবে দেখি তোরা কতো করতে পারিস পরে দেখা জাবে শালা মালাউনের বাচ্চা মালাউন,2,2,2,2,3
"আসলে তুই তমঃ গুনি মানুষ,যার কারনে আল্লা ও ভগবাননের বিষয়ে তর কোন গিয়ান নেই",2,2,2,2,2
পাগলের সাথে কথা বলে লাভ নেই রাহুল ভাই হিন্দু নামে ডান্ডা বাশ,2,2,2,2,3
এই জন্যই তোরা মালাউন জাতি পরের ভালো সহ্য হয়না তোদের।,2,2,2,2,3
সরকার ধর্মদ্রোহী নাস্তিকদের বিরুদ্ধে ব্যবস্থা না নিয়ে ধর্মীয় মূল্যবোধে বিশ্বাসী আমারদেশ পত্রিকার বিরুদ্ধে ব্যবস্থা নিচ্ছে,2,2,2,2,2
কাঠমোল্লা জাকের নাইকের জুতার সমান মুল্য তোর নাই।,2,3,2,2,3
"মুসলিমের পূজা উদ্বোধন করা, হিন্দুদের কোরবানির ঈদের আয়োজন করার মত",3,2,2,2,3
চলো আমরা সবাই মুসলিম মারা শুরু করি,2,2,2,2,3
ও হিনদু রা এই জারোজ টাকে নিজেদের বোনধু মোনে কোরো না কারোন ও গেছে হিনদুদের কোচি কোচি মেয়েদের পুজো কোরতে,3,3,2,2,3
"একটা দুইটা নাস্তিক ধর, ধইরা ধইরা জুতা পেটা করে দেশ ছাড়া কর",2,2,2,2,3
"জোর করে ইসলামকে ধরে রাখবেন,মিথ্যা আপনাদের ব্যানানো রাজনিতি কোরান দিয়ে রাখেন।।।",2,3,2,2,3
আমি বুঝিনা এতো নাস্তিক আসলো কোতাথেকে????আল্লাহই ভালো জানে আমার সোনার বাংলার কি হয়!!!!,2,2,2,1,3
হিন্দু উল্লেখ করতে কি লজ্জা লাগে?মালাউনরা যা বার বেড়েছে,2,2,2,2,3
নাস্তিকদের বর্তমানের অন্যতম পুঁজি কোরানের একটি আয়াতের অপব্যাখ্যার জবাব দিলেন প্রিয় ভাই মোহাম্মদ ইব্রাহিম।,3,2,2,2,3
ইসলামের বিরুদ্ধে নানা রকম টক শো আর রিপোর্ট তৈরি করা ৭১ টিভির চোদনে থাকা দায়,2,2,2,2,3
ইসলামে বর্বরতা চারা আর কিছুই নয়।,3,3,2,2,3
সাকিব হাসান কুফরি করেছে। তার অতি দ্রুত তওবা করে মহান আল্লাহর ক্ষমা চাওয়া দরকার।,2,2,2,1,2
কি বর্বর হায়েনা মালাউন ওরে ঔসধ দিয়ে ভালা করে আবার ধর্ষন করব। ওর মরাই উচিত।কারন ওটা মালু দ্যাশ,2,2,2,2,3
নাইমুল ইসলাম খান হচ্চে মালাউন দের নাম্বার ওয়ান দালাল,2,2,2,2,3
তোমাদের বউ বোন কে অর্ধ নেংটা করে রাস্তায় মার্কেটে ঘুরালে কি তোমাদের দেবতা সন্তুষ্ট হয়? শাড়ির পড়ে পেট পিট বের করে রাখলে হাফ নেংটা করে রাখলে?,2,3,2,2,3
বার্মার এত মুসলিমকে হত্যা করছে বাংলাদেশের একটা মালাউন একটু দুুংখ প্রকাশ ও করলনা। তাদের জন্য আমাদের দেশের সুশীল রা কাঁদিয়া মরে যাই।,2,2,2,2,1
আপনি নিজের ধর্ম নিয়ে ভাবুন। অন্যের ধর্ম নিয়ে মাথা ঘামানোই ভাল।,2,2,2,2,2
পাগল তোর তো নুন্য তম জ্ঞান নাই। তুই আবার নাস্তিক হলি কি করে। তুই তো মালু। কথা সুনেই বুঝে গেছি,2,2,2,2,3
রাহুল ইসলামে প্রবেশ করে নাই বিতর্কে প্রবেশ করছে ।,2,2,2,2,3
আপনার কথার ধারা বোঝা যাচ্ছে আপনার হিন্দু দের প্রতি মহব্বত আর মুসলিমদের প্রতি ঘৃণা। আর নিজে আগে ঠিক হয়ে অন্য কে বলেন।,2,2,2,2,1
মালাউন খানকির পোলা শুন রেন্ডিয়া হলো বেশ্যার দেশ যা জাতিসংঘের দ্বারা স্বীকৃত।,2,2,2,2,3
মালাউনদের শিকড উপডে দিয়ে ভারত মঽা সাগরে পেলে দিতে বলে।,2,2,2,2,3
মসজিদের শহর ঢাকায় কোনো ভাস্কর্য স্থাপন করতে দেওয়া হবে না !,1,1,1,2,2
তোদের জন্য চিন বাঁশ রেডি করতাছে সময় মত তোদের পুটকির ভিতর ঢোকিয়ে দিবে শালা মালাউনের বাচ্চারা।,2,2,2,2,3
আওয়ামিলীগ দলের স্বার্থে ইসলাম ও কোরআন হাদিস ও আলেম ওলামাদের বিরুদ্ধে কথা বলতেও ভয় করেনা।,2,1,2,2,1
সময় টিভির মালিক যে হিন্দুদের বংশধর এটা সবাই জানে।,2,2,2,2,3
"নাস্তিক দের বোকার মত যুক্তি শুনলে, আমার ইমান টা আরো মজবুত হয়",2,2,2,2,1
হিন্দু ধর্ম যে চোদাচুদির ধর্ম আর এইজন্য ইন্ডিয়াতে সবচেয়ে বেশি রেপ,2,2,3,2,3
কুরআনের আয়াতের খন্ড করে মানসিক বিকৃত মনস্করা কিভাবে বিপদগ্রস্ত হচ্ছে তা দেখে অবাকই হলাম।,3,2,2,2,2
"নাস্তিকের গুষ্টি, জাহান্নামের দরজা দিয়ে তোমরা প্রবেশ করবা",3,2,2,2,3
তোর হিন্দু বন্ধুদের বান্ধবীদের নিয়া বৃন্দাবনে গিয়া লিলা করগা,3,2,2,2,3
"বেরিয়ে আসছে ভারতের ধর্মনিরপেক্ষতার আসল চেহারা, চাপের মুখেই ধর্মান্তরিত হন ২০০ মুসলমান",2,2,3,2,3
খানকি মাগি। আমাদের ইসলাম ধর্ম নিয়া কোন কথা বলবি না।,2,2,2,2,3
"ধর্ম নিরপেক্ষতার নামে মুসলমান মেয়েদের অপমান, আর কতো?",2,2,2,2,1
এই শালা মালাউনের দাদাল তুই।,2,2,2,2,3
দেবতাদের গুরু বৃহস্পতি তার ভ্রাতৃবধূ মমতাকে ধর্ষণ করেন।,3,2,2,2,3
হিন্দুরা ব্রিটিশদের আর্য মনে করে পূন্য লাভের আশায় নিজেদের মা বোনদের যেভাবে কুঠিতে পাঠিয়ে চোদা খাইয়ে এলগো ইন্ডিয়ান আর রুশো ইন্ডিয়ান জাত তৈরি করেছে সেইভাবেই মনে হয় তোকে আমি তৈরি করেছি আয় ছেলে বুকে আয়।,2,2,2,2,3
"জামাত শিবিরের মত ধাপ্পাবাজি ছাড়েন,সব জায়গায় না,আমি শুধু এক জায়গায় দেখতে চাচ্ছি। পারলে দেখান কোরানে কোথায় মালাওন শব্দটা আছে,না পারলে মিথ্যা ধোঁকাবাজি ও চালবাজি ছাড়ুন।",2,3,2,2,2
মালাউন মাদার চোদ। পাকিস্তান জিন্দাবাদ,2,2,2,2,3
যুগে যুগে তোদের ধর্মগুরুরা পল্টি মেরেছে তোদের ধর্ম ব্যবসা টিকিয়ে একসময় বলতো গাছের প্রান নাই গাছ খাওয়া যাবে যখন প্রমান হলো গাছের প্রান আছে তখন বলে আরে গাছের ইন্দ্রিয় দুইটা কম তাই গাছ খাওয়া যাবে ।,2,3,2,2,3
ভারতে মুসলিম আরো বেশি হবে কারণ বড় বড় চোর গুন্ডা নেতা সবাই হিন্দু,2,2,2,2,3
